chr	start.pos	end.pos
1	7712419	8500704
1	9167687	9290613
1	29902244	31306604
1	31717303	33351641
1	39255482	41303498
1	41527361	43178026
1	43267978	43552293
1	43576620	45280742
1	45295611	47113489
1	47298617	48527452
1	48684305	48825258
1	48830242	49909221
1	50528808	50604110
1	54756221	54771894
1	58303310	58354787
1	58366145	59604675
1	59954725	60029589
1	60034036	60578655
1	60581423	61056184
1	61111618	61495757
1	61699510	62351923
1	62855458	62938653
1	63052305	63393457
1	63903871	65099416
1	65099637	71104264
1	71174297	76631030
1	77241988	77663669
1	78450001	81381987
1	81382337	81858334
1	81859234	81931711
1	81934354	83534320
1	84036138	85686995
1	85705556	85884847
1	86308877	87326158
1	87762776	89019558
1	89899328	90831189
1	90857164	92678815
1	92728601	94550682
1	94594135	96650285
1	107070599	107315009
1	107324527	107566908
1	107592588	108339754
2	58692509	58800601
2	86614729	86758062
2	87080103	88065322
3	3104952	4856561
3	4861101	5716655
3	17599386	17599386
3	17604600	18497688
3	19495631	20105533
3	20105780	24148101
3	24154243	24724971
3	31613155	33412806
3	33532240	34155656
3	36738612	37430122
3	37543702	38355107
3	38374250	38961179
3	38961196	38968492
3	39763049	42282158
3	42936565	45718344
3	46639460	47266582
3	47271713	47401924
3	47405100	49039849
3	49411858	50548245
3	50788221	51003981
3	51005025	51275771
3	51378144	51685155
3	51709519	52657651
3	52705684	53198831
3	53201299	53780756
3	53800211	54323864
3	54324850	54355680
3	54692820	57180484
3	57393147	57819818
3	58716606	59109631
3	59259376	59375246
3	59453004	60124897
3	60125716	60173183
3	60586393	60654821
3	60659176	60904676
3	61164251	61586653
3	61594569	62458841
3	64301153	66449024
3	66465427	66605588
3	66632675	66920192
3	67378465	68039853
3	68052505	68241677
3	68278417	68296719
3	68873079	68928478
3	68942952	69683702
3	69745232	70844052
3	70857315	71546956
3	71819862	72707080
4	3094739	5785078
4	5931249	8820050
4	8828551	9240277
4	9824871	9935159
4	10097037	10830475
4	10850706	10967998
4	11168388	13574038
4	13582050	13582050
4	13647171	15025033
4	15052580	15340081
4	15344715	18993221
4	21029619	21029619
4	22010440	22171772
4	22178232	23061755
4	24625555	25954095
4	26459262	26557043
4	26716477	27095224
4	28515598	28791325
4	29226470	29470357
4	29483475	29706528
4	29838742	29953482
4	29988561	31202277
4	31244592	31413813
4	31886346	33020312
4	33067521	35094408
4	35139673	36454262
4	36508917	37281008
4	37281373	37295321
4	37295341	37314299
4	37360503	39194251
4	39404859	39936120
4	40414103	41339801
4	41459433	41631562
4	41807779	43249478
4	43676802	44959084
4	45843647	46354009
4	46477913	47207382
4	47279579	47279703
4	47292827	48442675
4	48474583	48987322
4	48987438	50580263
4	50677655	51103851
4	51105213	52852307
4	52906049	52906049
4	55980102	56580536
4	56792936	57416884
4	57464241	57761193
4	58365799	59173016
4	59833827	60282355
4	60291187	60438816
4	61031363	61449513
4	64846188	66234332
4	69695492	71515539
4	71577170	71906933
4	71939796	73182533
4	73219327	73219327
4	73222739	73478230
4	74006656	74626252
4	74706316	75470116
4	75600348	76955230
4	77183323	78124897
4	78215244	78432765
4	78690353	79337886
4	79339396	79392098
4	80155074	80612987
4	80615988	81820528
4	90533820	90620884
5	8684813	9155159
5	9539117	9934786
5	12443211	12497110
5	12499241	12741345
5	13509439	13982375
5	14231546	15278499
5	15725957	15735248
5	15780617	15823094
5	15847908	17475548
5	17733849	17828001
5	17856703	17962342
5	18086300	18990235
5	19910430	20828386
5	20952146	20967126
5	20967542	21016342
5	21017344	21091417
5	21103556	21588775
5	21747938	21748236
5	21748400	21798332
5	21807339	21831902
5	21986367	22694774
5	22698464	22784777
